Mass,RT
102.0679,1.08
113.9926,7.41
113.9926,8.83
113.9926,9.89
113.9926,10.65
113.9927,1.41
113.9927,4.49
113.9927,5.25
113.9927,5.81
113.9927,6.74
113.9927,8.18
116.0835,1.94
116.0836,2.53
117.9355,11.32
118.0029,3.84
119.0481,2.98
119.9996,1.59
120.0422,2.04
120.0938,3.42
122.0369,3.19
122.0371,2.16
122.073,2.95
128.0027,5.65
128.0834,10.57
128.1199,3.34
129.9997,5.65
130.0629,1.52
130.0992,3.56
131.9996,3.87
131.9997,2.35
133.0637,4.03
133.9891,1.49
134.1094,4.14
135.0543,1.07
135.9945,5.38
135.9946,3.79
135.9946,4.69
135.9949,7.4
138.0092,3.84
138.0314,5.94
140.0656,1.13
140.12,4.38
142.0239,11.1
142.024,4.82
142.0992,3.82
142.0993,6
142.1354,4.17
143.9995,3.35
144.0309,2.67
144.1146,5.56
144.1148,4.05
144.1148,4.72
144.5335,2.65
145.9719,1.38
146.12,4.72
149.9598,1.14
149.9984,3.3
150.0165,9.87
150.0165,10.85
150.0166,4.13
150.0679,2.28
150.1042,4.57
151.0089,4.72
151.0167,10.86
151.0168,9.91
151.0393,3.08
151.9556,1.15
152.0134,9.88
152.0135,10.87
152.0838,3.18
153.0048,4.72
154.1356,6.69
155.9996,3.88
156.1148,4.75
156.1151,1.06
156.6165,1.06
158.0577,2.3
158.094,3.12
158.1304,10.44
158.1305,5.65
158.9293,5.41
160.0221,1.47
160.1097,3.11
161.0236,1.57
161.9636,3.86
161.984,1.12
162.068,3.37
163.9607,3.86
163.9892,1.55
164.047,3.59
164.0835,3.55
164.0836,2.58
164.9562,2.96
164.9934,1.15
165.0789,1.36
165.4934,9.87
166.0265,2.21
166.0476,6.66
166.0478,9.9
166.0478,10.85
166.0479,4.13
166.0481,8.58
166.0627,3.49
166.063,2.72
166.0657,3.05
166.1356,3.42
167.0484,10.85
167.0485,4.14
167.0485,9.93
168.043,1.33
168.0448,10.87
168.0449,4.13
168.0449,10.01
168.0786,3.52
168.1147,2.83
168.1148,4.94
169.0455,9.92
169.0456,10.88
169.4289,3.09
169.9964,5.46
169.9964,6.14
169.9965,3.11
170.0412,10.88
170.0422,9.86
170.0941,3.53
170.0942,2.38
170.0942,4.8
170.1304,5.45
170.1304,5.9
170.1306,4.34
170.9999,3.13
171.0114,3
171.0352,3.85
171.5719,6.62
172.0194,2.1
172.0733,10.59
172.1096,10.09
172.1098,2.72
172.1098,3.39
172.1456,5.16
172.146,10.71
172.1461,6.54
173.0226,2.09
173.031,3.85
173.1051,1.14
173.1056,3.04
174.0163,2.07
174.0322,8.64
174.0525,2.47
174.1254,2.47
174.1254,3.66
175.1287,3.67
175.9899,4.15
175.9997,1.41
175.9997,2.07
176.0835,3.59
176.1049,2.51
176.156,8.1
177.003,1.65
177.1026,1.03
177.9958,1.55
178.0038,1.56
178.0212,3.88
178.0632,2.37
178.0991,4.36
178.0994,5.31
178.0996,2.64
178.11,3.52
178.6117,1.05
179.0743,4.06
179.1119,1.08
179.9727,3.3
179.9927,1.62
180.0634,10.89
180.0782,2.61
180.0789,3.88
180.1508,3.49
180.1514,4.15
181.0641,10.92
181.9966,3.76
181.9966,4.81
182.0213,4.4
182.0577,2.54
182.0603,10.89
182.094,3.91
182.1304,5.93
182.1307,3.64
183.0247,4.4
184.0119,2.86
184.0194,2.55
184.1072,4.79
184.1097,3.65
184.1097,4.38
184.1098,2.99
184.1461,6.36
184.1463,5.85
185.0506,4.99
185.0515,2.68
185.9912,6.47
185.9914,4.79
185.9914,5.47
186.0349,2.78
186.0365,4.89
186.0823,4.49
186.0892,1.08
186.0892,2.44
186.1254,3.43
186.1254,4.15
186.1618,7.39
187.0301,1.92
187.1106,10.8
187.1203,10.29
187.1204,9.28
187.1208,1.27
187.1222,5.47
187.1652,7.39
187.9734,1.93
188.0148,2.93
188.017,1.12
188.031,2.78
188.1045,2.65
188.1048,1.47
188.1053,10.07
188.1236,10.29
188.141,3.41
188.141,4.25
189.979,1.07
190.0152,1.09
190.0449,2.99
190.0992,4.43
190.0998,5.86
190.9857,1.14
191.0993,1.11
191.1,3.49
192.0786,3.19
192.081,3.4
192.081,5.14
192.0817,4.1
192.1148,5.16
192.1152,3.45
193.0736,5.14
193.0895,4.89
193.4478,4.66
193.9965,4.26
194.058,3.2
194.0581,2.15
194.0779,4.1
194.094,2.68
194.0966,5.61
194.0968,3.95
194.0968,10.52
194.0972,4.65
194.1303,3.48
194.1306,5.81
194.9834,5.61
195.0657,3.36
195.0896,1.25
195.0896,3.54
195.0977,4.62
195.1006,4.61
195.162,5.71
195.9959,2.35
195.9961,4.48
196.0373,2.23
196.0585,9.36
196.0736,2.48
196.0737,2.99
196.0738,3.85
196.0915,2.56
196.0933,10.52
196.0935,4.47
196.094,3.88
196.1097,2.86
196.1461,5.56
196.1461,6.07
196.1461,6.7
196.9198,4.08
197.0528,3.53
197.1113,2.4
197.1414,4.79
197.9906,5.37
197.9914,3.86
197.9915,2.77
198.0349,3.51
198.0479,2.72
198.0556,5.34
198.0679,3.43
198.0683,2.56
198.0891,1.12
198.0893,2.53
198.0921,4.66
198.1253,6.68
198.1254,3.52
198.1617,4.89
198.1617,7.27
198.1618,5.84
198.9168,4.08
199.0665,5.88
199.0732,2.68
199.0776,4.57
199.0964,2.37
199.0966,1.13
199.1208,2.82
199.121,3.47
199.1648,6.93
199.5041,8.29
199.5071,8.28
199.9571,2.72
200.031,3.52
200.0446,2.73
200.0505,3.74
200.0509,4.72
200.0527,5.34
200.0837,3.84
200.0979,5.14
200.1047,2.73
200.1273,8.31
200.141,3.75
200.141,3.94
200.1412,8.28
200.1773,8.23
200.1773,10.64
200.7389,8.37
200.781,8.44
201.0625,5.87
201.0945,1.11
201.1081,2.77
201.1082,1.14
201.1333,8.35
201.1365,2.19
201.1618,8.3
201.1807,7.85
201.1808,8.28
201.6093,1.02
201.9862,5.11
202.0326,2.25
202.0327,1.53
202.0463,3.74
202.0468,2.56
202.1008,3.15
202.1203,2.74
202.1203,3.33
202.135,2.92
202.1566,5.02
202.1567,4.07
202.1834,8.27
202.9979,4.85
203.0344,1.52
203.0344,2.11
203.16,5.06
