Feature ID,m/z,Retention Time,Score_Description,Name_or_Class,SMILES,Formula,FluoroMatch DTXSID,Likely PFAS?,Mass Defect in PFAS Space?,2+_homologous_series,3+_homologous_series,Number_of_F_Fragments,FINAL DTXSID,FINAL DTXSID NOTES,CONFIRM PFAS?,Reviewed?
12,112.9854,5.81,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFCA-perfluoroalkyl,OC(=O)C(F)(F)F,C2HF3O2,,TRUE,TRUE,TRUE,TRUE,2,,Mass corresponds to TFA. Multiple features at different RTs for this mass. Likely being generated as in-source fragment during ionization. ,YES,Yes
13,112.9854,8.18,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFCA-perfluoroalkyl,OC(=O)C(F)(F)F,C2HF3O2,,TRUE,TRUE,TRUE,TRUE,2,,Mass corresponds to TFA. Multiple features at different RTs for this mass. Likely being generated as in-source fragment during ionization. ,YES,Yes
91,148.9525,1.14,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFSA-perfluoroalkyl,O=S([OH])(=O)C(F)(F)(F),CHF3O3S,,TRUE,TRUE,TRUE,TRUE,4,DTXSID2044397,"Compared to reference spectra on AMOS, user agreed match",YES,Yes
134,162.9819,1.55,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFCA-perfluoroalkyl,OC(=O)C(F)(F)C(F)(F)F,C3HF5O2,,TRUE,TRUE,TRUE,TRUE,3,DTXSID8059970,"Compared to reference spectra on AMOS, user agreed match. XIC is a little messy/broad due to early elution owed to physiochem properties + chromatography.",YES,Yes
222,174.9826,4.15,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","1,2,2,3,3-Pentafluorocyclopropane-1-carboxylic acid",OC(=O)C1(F)C(F)(F)C1(F)F,C4HF5O2,DTXSID80846721,TRUE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
233,177.0139,3.88,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C3H3F5N2O,DTXSID70289320,FALSE,TRUE,TRUE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
277,184.9841,4.79,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluoropropanol,OC(F)(F)C(F)(F)C(F)(F)F,C3HF7O,DTXSID60374714,TRUE,TRUE,TRUE,TRUE,2,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
278,184.9841,5.47,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluoropropanol,OC(F)(F)C(F)(F)C(F)(F)F,C3HF7O,DTXSID60374714,TRUE,TRUE,TRUE,TRUE,2,,In-source fragment (loss of CO2) of fluoroethers shown by XIC,,Yes
280,185.0276,2.78,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C6H6F4O2,DTXSID20531189,FALSE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
350,194.9886,2.35,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",4H-Perfluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)F,C4H2F6O2,DTXSID10327679,FALSE,TRUE,TRUE,TRUE,2,,"Fragment at 151.1125 corresponds to CO2 loss. Fragment at 130.9923 corresponds to C3F5. Fragment at 79.9568 corresponds to SO3. XIC shows somewhat broad/messy peak because it is earlier eluter. Definitely PFAS, but need additional opinion to assign identity.",YES,Yes
