WebApp,Old Mzmine,New MZMine,Mass,Retention_Time
3,151,151,102.0679389,1.0820924
6,11372,11372,113.9926061,10.653827
7,10514,10514,113.9926123,9.890706
8,8733,8733,113.9926262,7.412071
9,9968,9968,113.9926371,8.832271
10,5828,4651,113.9926489,5.250932
11,4651,5828,113.992654,4.485851
12,6771,6771,113.9926559,5.8086023
13,9350,9350,113.9926766,8.176514
14,8063,8063,113.9926779,6.7439322
15,610,610,113.9927152,1.4148514
18,771,771,116.0835386,1.9414421
19,1306,1306,116.0835689,2.5309973
23,3257,3257,118.0028569,3.8420305
24,1744,1744,119.0481438,2.9801803
25,705,705,119.9996102,1.5887443
28,810,810,120.0421645,2.0437992
29,2324,2324,120.09379,3.4198835
32,1847,1847,122.0369434,3.1895673
34,917,917,122.037069,2.1611245
35,1667,1667,122.0729855,2.946861
40,6533,6533,128.0026544,5.652712
41,11475,11475,128.0834172,10.565949
42,1995,1995,128.119895,3.3366537
44,6526,6526,129.9997163,5.64846
45,698,698,130.062853,1.5235333
46,2644,2644,130.0992033,3.5599723
49,3253,3253,131.9996166,3.870993
50,1073,1073,131.9997226,2.3509173
51,3617,3617,133.0637445,4.0287137
55,257,257,133.9890785,1.494199
56,3902,3902,134.1094346,4.139028
57,131,131,135.0543396,1.0688777
61,5885,5885,135.9945439,5.381905
62,3087,3087,135.9945514,3.7867258
63,4852,4852,135.9946455,4.688554
64,8594,8594,135.9948503,7.4011483
68,3267,3267,138.0091519,3.8445582
69,6932,6932,138.0314143,5.944514
71,303,303,140.0655685,1.1333944
72,4384,4384,140.1200033,4.3822446
73,12601,12601,142.0239167,11.1022625
75,2311,7289,142.0991827,3.82098
76,7289,2311,142.0992154,6.002189
77,3974,3974,142.135429,4.170533
78,10281,10281,143.027504,9.183949
80,2189,2189,143.9995208,3.3528612
81,1388,1388,144.0308928,2.6713593
82,6428,6428,144.1146332,5.552646
83,5913,5913,144.1148057,4.7168913
84,2968,2968,144.1148259,4.0491157
85,1365,1365,144.5334864,2.6457002
88,584,584,145.9718586,1.3803222
89,5276,5276,146.120043,4.7229095
91,255,255,149.9597811,1.1380409
92,2047,2047,149.9984217,3.296367
95,11152,11152,150.0165227,10.845358
96,10555,10555,150.0164982,9.87202
98,3871,3871,150.0166075,4.1305647
99,990,990,150.0679487,2.2848
101,4559,4559,150.1042116,4.570142
102,5036,5036,151.0089359,4.721401
104,11991,11991,151.0167384,10.864403
105,10554,10554,151.0168115,9.9052515
107,1787,1787,151.0393313,3.07945
108,555,555,151.9556115,1.1515987
109,10568,10568,152.0133539,9.881453
110,12194,12194,152.01353,10.869553
112,2101,2101,152.0837605,3.1804888
113,5029,5029,153.0048451,4.7198143
114,8041,8041,154.1355815,6.692992
115,3321,3321,155.9995537,3.882428
116,4052,4052,156.1148263,4.747344
117,186,186,156.1151104,1.0564723
118,148,148,156.6165462,1.0565721
120,1004,1004,158.0577188,2.3012388
121,1844,1844,158.0940154,3.124775
122,5028,5028,158.130454,5.6467495
123,10788,10895,158.1304369,10.437052
124,6061,6061,158.9292881,5.412325
126,515,515,160.0220563,1.4734759
127,1887,1887,160.1097228,3.1134222
128,742,742,161.0236108,1.5674132
129,3296,3296,161.9636096,3.8614552
130,423,423,161.9840061,1.1233704
131,1842,1842,162.0679817,3.3701434
133,3297,3297,163.9607479,3.8586998
134,722,722,163.9892032,1.5502775
136,2947,2947,164.0470101,3.5877554
137,2505,2505,164.0834775,3.5545435
138,1032,1032,164.083624,2.5786574
139,1681,1681,164.9561621,2.9560945
140,353,353,164.9934306,1.1459613
142,587,587,165.0788699,1.3551278
143,10549,10549,165.4934198,9.866679
144,940,940,166.0265205,2.2126462
145,8284,8284,166.0475888,6.664739
146,11784,11784,166.0478043,10.850771
147,10556,10556,166.0478297,9.901871
148,3877,3877,166.0479408,4.1321826
151,9709,9626,166.0480915,8.58177
152,2420,2420,166.0627168,3.4890764
153,1479,1479,166.062968,2.7175019
154,1777,1777,166.0656836,3.0500786
155,2453,2453,166.1356216,3.4200332
156,11015,11015,167.048427,10.850041
157,10648,10648,167.0484516,9.925006
159,3878,3878,167.0485485,4.140924
164,363,363,168.0430818,1.3328934
166,11211,11211,168.044844,10.865865
167,10567,10567,168.0448805,10.008566
168,3882,3882,168.0449368,4.131946
170,2361,2361,168.0786303,3.5157955
171,5369,5369,168.1147729,4.9442363
172,1509,1509,168.1147942,2.8299665
174,10558,10558,169.0454729,9.91875
175,11958,11958,169.0455867,10.877266
176,1788,1788,169.4288725,3.0884893
177,7261,7261,169.9963818,6.138201
178,6189,6189,169.9964084,5.464528
179,1823,1823,169.9964701,3.111561
180,12309,12309,170.0412243,10.879735
181,10550,10550,170.0421576,9.857295
182,2637,2637,170.0941095,3.534829
183,1128,1128,170.0941572,2.3762584
184,5202,5202,170.0942012,4.7964315
185,5690,5690,170.1304209,5.449115
186,6904,6904,170.130394,5.900175
187,3957,3957,170.1306444,4.3360868
190,1766,1766,170.9998515,3.126996
192,1720,1720,171.0114321,3.0041103
193,3226,3226,171.0351642,3.851327
195,7917,7917,171.571873,6.6238503
197,759,759,172.0193895,2.0991275
198,11519,11519,172.0732656,10.587267
199,10618,10618,172.1096197,10.0941305
200,1976,1976,172.1097658,3.3913605
201,1572,1375,172.109824,2.7201092
202,5518,5518,172.1455899,5.159623
203,6541,11938,172.1460872,6.537919
204,11938,6541,172.1460325,10.709008
209,809,809,173.0225975,2.0903432
210,3330,3330,173.0310229,3.8506303
212,525,525,173.1050949,1.1371725
213,1768,1768,173.105612,3.0383456
215,798,798,174.0163302,2.0710833
216,9710,9710,174.032206,8.637544
217,1000,1000,174.0524697,2.4653788
218,1191,1191,174.1253804,2.4738514
219,3059,3059,174.1254482,3.6566265
221,2292,2292,175.1287455,3.6694088
222,3784,3784,175.9898549,4.1545696
223,835,1163,175.9996659,2.0729344
224,390,390,175.9996688,1.4057462
225,2680,2680,176.0835207,3.5936146
226,1228,1228,176.1048502,2.5123186
227,9305,9305,176.156027,8.096895
228,709,709,177.003048,1.6453425
229,84,84,177.1025829,1.0336282
231,643,643,177.9958468,1.5525949
232,657,657,178.0038184,1.5583367
233,3268,3268,178.0211577,3.8778522
234,1003,1003,178.0631795,2.374926
235,4173,4173,178.0990862,4.3640523
236,6100,6100,178.0993644,5.3149524
237,1607,1607,178.099552,2.6426272
239,92,92,178.6116793,1.0348834
240,3639,3639,179.0742656,4.0580482
241,176,176,179.1118962,1.0833999
243,2041,2041,179.9727028,3.300228
244,713,713,179.9926511,1.6239401
245,12243,12243,180.0634199,10.889935
246,4216,4216,180.0789067,3.8820145
247,1481,1481,180.0782346,2.612089
248,2545,2545,180.1507955,3.486972
249,3453,3453,180.1513661,4.1458554
250,12360,12360,181.0640994,10.91859
254,3159,3159,181.9965604,3.7575378
255,5152,5152,181.9966226,4.811294
256,4423,4423,182.0212549,4.40265
257,1266,1266,182.0576534,2.538117
258,12294,12294,182.0603318,10.891699
259,2911,2911,182.0940162,3.9076014
260,7585,7585,182.1303646,5.930995
261,2532,2532,182.1306955,3.6423094
262,4321,4321,183.0246515,4.3985724
265,1645,1645,184.0119113,2.8616073
266,1431,1431,184.0193718,2.5490024
267,5385,5385,184.1071738,4.7932024
268,1670,1670,184.1097685,2.9931037
269,3227,3227,184.1096888,3.6541026
270,4410,4410,184.1096993,4.381476
271,6434,752,184.1460674,6.3646097
272,8278,8278,184.1460664,6.576119
273,6132,6132,184.1463035,5.8502502
274,5451,5451,185.050559,4.9934072
275,1371,1371,185.0515082,2.6830869
276,7927,7927,185.991166,6.471608
277,5047,5047,185.9913735,4.789614
278,6196,6196,185.9913885,5.466094
280,1635,1635,186.0348821,2.7808747
281,5859,5859,186.0364944,4.888577
283,5102,5102,186.0822542,4.49493
284,34,34,186.0891606,1.0848261
285,1012,1012,186.0891903,2.435189
286,1871,1871,186.1253684,3.4265454
287,3327,3327,186.1253564,4.1543355
288,8138,8138,186.1617632,7.386169
290,763,763,187.0301341,1.9166083
293,11850,11850,187.110566,10.796299
296,10907,10907,187.1203474,10.287738
297,10343,10343,187.120375,9.278474
298,758,758,187.1207601,1.2685164
300,5360,5360,187.1222198,5.4706016
301,8709,8709,187.1651966,7.387552
303,765,765,187.9733621,1.928
304,1862,1862,188.0148007,2.9302685
305,418,418,188.0170153,1.1189486
307,1597,1597,188.0309954,2.7809193
308,1426,1426,188.1045003,2.6493108
309,652,652,188.1047639,1.4737059
310,10625,10625,188.1052908,10.068085
311,10845,10845,188.1236327,10.285922
312,2196,2196,188.1409844,3.414269
313,3926,3926,188.141027,4.2460184
314,235,235,189.9790045,1.069764
315,472,472,190.0151696,1.0946248
316,2016,2016,190.0449306,2.9920392
317,5350,5350,190.0992337,4.4283433
318,7088,7088,190.099828,5.864321
319,287,287,190.9857379,1.1355271
321,2507,2507,191.0999709,3.4923666
322,1879,1879,192.078583,3.185719
323,2130,2130,192.0809851,3.4029453
324,6034,6034,192.0810329,5.139796
325,4102,4102,192.0817337,4.096277
326,5716,5716,192.1148069,5.1562343
327,2574,2574,192.1151622,3.4525192
